Price,Model_year,Milage,Brand,Model,Fuel_type,Transmission,Accident,Clean_title,condition
18590,2014.0,69748.0,lexus,ct 200h hatchback 4d,hybrid,other,Unknown,Clean,good
2500,1989.0,175000.0,honda,crx si,gas,manual,Unknown,Clean,
18000,2003.0,216000.0,gmc,sierra 2500 hd,diesel,automatic,Unknown,Clean,good
12250,2013.0,11500.0,kia,soul,gas,automatic,Unknown,Clean,like new
4999,2002.0,137350.0,lexus,es 300,gas,automatic,Unknown,Clean,good
6250,2007.0,102457.0,toyota,camry hybrid,gas,automatic,Unknown,Clean,good
19985,2013.0,129386.0,mercedes-benz,gl-class,gas,automatic,Unknown,Clean,excellent
37590,2018.0,14529.0,bmw,x3 xdrive30i sport utility,gas,other,Unknown,Clean,good
6789,2010.0,117000.0,toyota,corolla le,gas,automatic,Unknown,Clean,good
18590,2018.0,24703.0,hyundai,sonata sel sedan 4d,gas,other,Unknown,Clean,good
3999,2006.0,253076.0,honda,accord sedan,gas,automatic,Unknown,Clean,
9995,2013.0,79682.0,mini,cooper hardtop,gas,automatic,Unknown,Clean,like new
10995,2010.0,145012.0,subaru,outback,gas,automatic,Unknown,Clean,
8990,2011.0,95704.0,chevrolet,equinox,gas,automatic,Unknown,Clean,excellent
21839,2017.0,23218.0,honda,hr-v,gas,other,Unknown,Clean,
18800,2013.0,186000.0,ford,f250,gas,automatic,Unknown,Clean,
9295,2014.0,107000.0,chevrolet,volt,gas,automatic,Unknown,Clean,excellent
38990,2019.0,11877.0,toyota,4runner limited sport,other,other,Unknown,Clean,good
14877,2012.0,90132.0,chevrolet,camaro,gas,automatic,Unknown,Clean,
14000,2005.0,305000.0,chevrolet,silverado,diesel,automatic,Unknown,Clean,
9800,1996.0,300000.0,toyota,tacoma 4x4,gas,manual,Unknown,Clean,
30550,2017.0,20823.0,mercedes-benz,c 300,gas,automatic,Unknown,Clean,
54995,2020.0,20502.0,ford,"f-150 f150 lariat sport 4x4, lifted on 35s",other,automatic,Unknown,Clean,
6999,2003.0,144643.0,,LEXUS/ES 300,gas,automatic,Unknown,Clean,excellent
11988,2014.0,130598.0,subaru,outback,gas,automatic,Unknown,Clean,excellent
5999,2003.0,139580.0,chevrolet,tahoe,gas,automatic,Unknown,Clean,excellent
25990,2006.0,73360.0,chevrolet,express cargo van,gas,automatic,Unknown,Clean,good
6999,2012.0,156186.0,chevrolet,equinox,gas,automatic,Unknown,Clean,excellent
38590,2020.0,9800.0,lincoln,continental sedan 4d,other,other,Unknown,Clean,good
12999,2005.0,138189.0,toyota,sequoia,gas,automatic,Unknown,Clean,excellent
28990,2017.0,20155.0,cadillac,cts 2.0 luxury sedan 4d,other,other,Unknown,Clean,good
2300,2007.0,162506.0,chevrolet,impala,gas,automatic,Unknown,rebuilt,good
16995,2018.0,27945.0,nissan,rogue sport,gas,automatic,Unknown,Clean,
17999,2010.0,186000.0,chevrolet,silverado 1500,gas,automatic,Unknown,Clean,
9900,2013.0,119682.0,ram,cargo van,gas,automatic,Unknown,Clean,good
13573,2012.0,127479.0,buick,enclave,gas,automatic,Unknown,Clean,excellent
83880,2016.0,13131.0,chevrolet,corvette,gas,manual,Unknown,Clean,
72000,2019.0,69000.0,ram,2500,diesel,automatic,Unknown,Clean,like new
73700,2018.0,29456.0,ford,f-150,gas,automatic,Unknown,Clean,
35999,2019.0,21750.0,dodge,charger,gas,automatic,Unknown,Clean,
3800,2001.0,138000.0,ford,mustang,gas,manual,Unknown,Clean,fair
29000,1939.0,1000.0,ford,hotrod,gas,automatic,Unknown,Clean,like new
11200,2012.0,106605.0,audi,q5 2.0t premium plus,gas,automatic,Unknown,Clean,good
24590,2017.0,40784.0,chevrolet,silverado 1500 regular,gas,other,Unknown,Clean,good
24590,2014.0,35629.0,lexus,is 250 sedan 4d,other,other,Unknown,Clean,good
37990,2018.0,31408.0,chevrolet,silverado 1500 crew,other,other,Unknown,Clean,good
29995,2017.0,45320.0,acura,mdx,gas,automatic,Unknown,Clean,
16499,1966.0,111000.0,mercedes-benz,250 s,gas,manual,Unknown,Clean,excellent
23995,2018.0,46566.0,nissan,pathfinder s 4x4,gas,automatic,Unknown,Clean,
55995,2019.0,26260.0,ram,2500,diesel,automatic,Unknown,Clean,
12500,2015.0,101000.0,volkswagen,passat tdi,diesel,automatic,Unknown,Clean,excellent
5800,2013.0,130050.0,jeep,compass sport,gas,automatic,Unknown,Clean,
21999,2014.0,104656.0,ford,explorer,gas,automatic,Unknown,Clean,
36590,2017.0,60476.0,chevrolet,tahoe lt sport utility,other,other,Unknown,Clean,good
6500,2009.0,109790.0,volkswagen,routan smini van,gas,automatic,Unknown,Unknown,excellent
5500,2003.0,1.0,toyota,sequoia sr5,gas,automatic,Unknown,Clean,excellent
31590,2017.0,28185.0,lexus,rx 350 sport utility 4d,gas,other,Unknown,Clean,good
33900,1999.0,131000.0,ford,f-350 diesel 4x4 7.3l power stroke turbo diesel ext cab long bed dually 6-speed manual,diesel,manual,Unknown,Clean,
11950,2016.0,102824.0,honda,hr-v,gas,automatic,Unknown,Clean,excellent
6995,2010.0,102241.0,ford,fusion s,gas,automatic,Unknown,Clean,
5495,2009.0,150000.0,kia,sedona,gas,automatic,Unknown,Clean,excellent
15298,2018.0,35710.0,volkswagen,jetta,gas,automatic,Unknown,Clean,
5800,2003.0,1.0,jeep,grand cherokee laredo 4x4,gas,automatic,Unknown,Clean,excellent
8400,2017.0,143120.0,mitsubishi,outlander sport,gas,automatic,Unknown,Clean,like new
7000,2001.0,164000.0,bmw,z3,gas,manual,Unknown,Clean,excellent
11985,2015.0,111519.0,buick,verano,gas,automatic,Unknown,Clean,excellent
11495,2009.0,113883.0,bmw,550i,gas,automatic,Unknown,Clean,
20990,2018.0,18882.0,mazda,mazda6 touring sedan 4d,gas,other,Unknown,Clean,good
33590,2019.0,33424.0,ford,ranger supercrew xl pickup,gas,other,Unknown,Clean,good
27988,2019.0,14821.0,toyota,camry,gas,automatic,Unknown,Clean,
28000,2014.0,69000.0,audi,s6,gas,manual,Unknown,lien,excellent
10995,2015.0,120723.0,toyota,corolla,gas,automatic,Unknown,Clean,excellent
31995,2018.0,37464.0,chevrolet,colorado crew cab 4wd,gas,automatic,Unknown,Clean,excellent
9500,2007.0,168000.0,ford,f-150,gas,automatic,Unknown,Clean,excellent
17800,2003.0,71500.0,chevrolet,corvette zo6,gas,manual,Unknown,Clean,excellent
6480,2012.0,180096.0,jeep,compass,gas,manual,Unknown,Unknown,
10500,2013.0,115879.0,ford,edge,gas,automatic,Unknown,Clean,
10977,2011.0,121428.0,lexus,is,gas,automatic,Unknown,Clean,
15000,1997.0,239649.0,ram,,diesel,automatic,Unknown,Clean,excellent
16999,2017.0,14950.0,kia,soul ev,electric,other,Unknown,Clean,
37590,2011.0,42017.0,chevrolet,corvette grand sport,gas,other,Unknown,Clean,good
4999,2002.0,152212.0,toyota,camry,gas,manual,Unknown,Clean,good
14999,2018.0,22159.0,ford,fiesta se w/ backup camera,gas,automatic,Unknown,Clean,
19990,2018.0,50215.0,dodge,grand caravan passenger gt,gas,other,Unknown,Clean,good
22300,2017.0,113617.0,ford,transit 150,gas,automatic,Unknown,Clean,excellent
41910,2020.0,609.0,ford,transit-250 base cargo,gas,automatic,Unknown,Unknown,excellent
26990,2008.0,172000.0,ram,2500 mega cab 4x4,diesel,automatic,Unknown,Clean,like new
34900,2013.0,130818.0,ford,f-150,other,automatic,Unknown,Clean,
14900,2006.0,100500.0,lincoln,mark lt,gas,automatic,Unknown,Clean,excellent
7500,1968.0,96000.0,,1968,gas,manual,Unknown,Clean,good
